,price,lotsize,bedrooms,bathrooms,driveway,recroom,fullbase,gashw,airconditional,garage,prefarea,stories_four,stories_one,stories_three,stories_two
0,42000.0,5850,3,1,1,0,1,0,0,1,0,0,0,0,1
1,38500.0,4000,2,1,1,0,0,0,0,0,0,0,1,0,0
2,49500.0,3060,3,1,1,0,0,0,0,0,0,0,1,0,0
3,60500.0,6650,3,1,1,1,0,0,0,0,0,0,0,0,1
4,61000.0,6360,2,1,1,0,0,0,0,0,0,0,1,0,0
5,66000.0,4160,3,1,1,1,1,0,1,0,0,0,1,0,0
6,66000.0,3880,3,2,1,0,1,0,0,2,0,0,0,0,1
7,69000.0,4160,3,1,1,0,0,0,0,0,0,0,0,1,0
8,83800.0,4800,3,1,1,1,1,0,0,0,0,0,1,0,0
9,88500.0,5500,3,2,1,1,0,0,1,1,0,1,0,0,0
10,90000.0,7200,3,2,1,0,1,0,1,3,0,0,1,0,0
11,30500.0,3000,2,1,0,0,0,0,0,0,0,0,1,0,0
12,27000.0,1700,3,1,1,0,0,0,0,0,0,0,0,0,1
13,36000.0,2880,3,1,0,0,0,0,0,0,0,0,1,0,0
14,37000.0,3600,2,1,1,0,0,0,0,0,0,0,1,0,0
15,37900.0,3185,2,1,1,0,0,0,1,0,0,0,1,0,0
16,40500.0,3300,3,1,0,0,0,0,0,1,0,0,0,0,1
17,40750.0,5200,4,1,1,0,0,0,0,0,0,0,0,1,0
18,45000.0,3450,1,1,1,0,0,0,0,0,0,0,1,0,0
19,45000.0,3986,2,2,0,1,1,0,0,1,0,0,1,0,0
